date,amount,merchant,category,budget,month,day_of_week,week,merchant_encoded,category_encoded,cluster,anomaly,is_anomaly
2025-05-13,11.43,Chipotle,Dining,200.0,5,1,20,4,0,4,1,False
2025-05-13,132.69,McDonalds,Dining,200.0,5,1,20,9,0,3,1,False
2025-05-13,152.11,Kroger,Groceries,400.0,5,1,20,8,2,3,1,False
2025-05-13,159.63,Spotify,Entertainment,100.0,5,1,20,13,1,1,1,False
2025-05-14,173.65,Shell Gas,Transport,150.0,5,2,20,12,5,0,1,False
2025-05-14,86.7,Gym Membership,Health,100.0,5,2,20,7,3,4,1,False
2025-05-14,156.0,Chipotle,Dining,200.0,5,2,20,4,0,3,1,False
2025-05-14,145.57,Netflix,Entertainment,100.0,5,2,20,10,1,3,1,False
2025-05-14,94.35,Spotify,Entertainment,100.0,5,2,20,13,1,4,1,False
2025-05-14,124.73,CVS Pharmacy,Health,100.0,5,2,20,3,3,3,1,False
2025-05-14,65.5,Spotify,Entertainment,100.0,5,2,20,13,1,4,1,False
2025-05-14,153.94,Kroger,Groceries,400.0,5,2,20,8,2,3,1,False
2025-05-15,149.2,Kroger,Groceries,400.0,5,3,20,8,2,3,1,False
2025-05-15,93.63,McDonalds,Dining,200.0,5,3,20,9,0,6,1,False
2025-05-15,165.0,Uber,Transport,150.0,5,3,20,17,5,0,1,False
2025-05-15,80.26,McDonalds,Dining,200.0,5,3,20,9,0,6,1,False
2025-05-15,185.05,Uber,Transport,150.0,5,3,20,17,5,0,1,False
2025-05-15,180.87,Uber,Transport,150.0,5,3,20,17,5,0,1,False
2025-05-16,118.56,AMC Theaters,Entertainment,100.0,5,4,20,0,1,6,1,False
2025-05-16,39.18,Trader Joes,Groceries,400.0,5,4,20,16,2,2,1,False
2025-05-16,101.13,Spotify,Entertainment,100.0,5,4,20,13,1,0,1,False
2025-05-16,180.24,Netflix,Entertainment,100.0,5,4,20,10,1,0,1,False
2025-05-16,47.8,Water Dept,Utilities,200.0,5,4,20,18,6,2,1,False
2025-05-17,126.42,AMC Theaters,Entertainment,100.0,5,5,20,0,1,6,1,False
2025-05-17,172.04,Spotify,Entertainment,100.0,5,5,20,13,1,0,1,False
2025-05-17,57.71,Amazon,Shopping,300.0,5,5,20,2,4,6,1,False
2025-05-18,120.49,Amazon,Shopping,300.0,5,6,20,2,4,6,1,False
2025-05-18,78.79,Trader Joes,Groceries,400.0,5,6,20,16,2,2,1,False
2025-05-18,31.53,CVS Pharmacy,Health,100.0,5,6,20,3,3,6,1,False
2025-05-19,50.79,Spotify,Entertainment,100.0,5,0,21,13,1,4,1,False
2025-05-19,25.92,Chipotle,Dining,200.0,5,0,21,4,0,4,1,False
2025-05-19,75.04,Whole Foods,Groceries,400.0,5,0,21,19,2,4,1,False
2025-05-19,132.76,Uber,Transport,150.0,5,0,21,17,5,1,1,False
2025-05-19,139.74,Water Dept,Utilities,200.0,5,0,21,18,6,1,1,False
2025-05-19,96.32,McDonalds,Dining,200.0,5,0,21,9,0,4,1,False
2025-05-20,132.65,McDonalds,Dining,200.0,5,1,21,9,0,3,1,False
2025-05-20,101.87,AMC Theaters,Entertainment,100.0,5,1,21,0,1,3,1,False
2025-05-20,126.36,Starbucks,Dining,200.0,5,1,21,14,0,1,1,False
2025-05-20,34.33,Duke Energy,Utilities,200.0,5,1,21,6,6,4,1,False
2025-05-20,15.19,Delta Airlines,Transport,150.0,5,1,21,5,5,4,1,False
2025-05-20,103.11,Duke Energy,Utilities,200.0,5,1,21,6,6,3,1,False
2025-05-20,134.92,Spotify,Entertainment,100.0,5,1,21,13,1,1,1,False
2025-05-21,26.9,Trader Joes,Groceries,400.0,5,2,21,16,2,4,1,False
2025-05-21,173.83,Spotify,Entertainment,100.0,5,2,21,13,1,0,1,False
2025-05-21,60.99,Chipotle,Dining,200.0,5,2,21,4,0,4,1,False
2025-05-21,58.13,Chipotle,Dining,200.0,5,2,21,4,0,4,1,False
2025-05-21,42.54,Trader Joes,Groceries,400.0,5,2,21,16,2,4,1,False
2025-05-21,105.39,Kroger,Groceries,400.0,5,2,21,8,2,3,1,False
2025-05-21,163.0,Netflix,Entertainment,100.0,5,2,21,10,1,3,1,False
2025-05-21,141.47,Chipotle,Dining,200.0,5,2,21,4,0,3,1,False
2025-05-21,32.71,Water Dept,Utilities,200.0,5,2,21,18,6,4,1,False
2025-05-22,61.64,CVS Pharmacy,Health,100.0,5,3,21,3,3,6,1,False
2025-05-22,115.57,Delta Airlines,Transport,150.0,5,3,21,5,5,3,1,False
2025-05-22,22.47,CVS Pharmacy,Health,100.0,5,3,21,3,3,6,1,False
2025-05-22,169.69,Duke Energy,Utilities,200.0,5,3,21,6,6,3,1,False
2025-05-22,167.69,Netflix,Entertainment,100.0,5,3,21,10,1,0,1,False
2025-05-23,136.84,Chipotle,Dining,200.0,5,4,21,4,0,5,1,False
2025-05-23,74.88,Delta Airlines,Transport,150.0,5,4,21,5,5,6,1,False
2025-05-23,75.31,Chipotle,Dining,200.0,5,4,21,4,0,6,1,False
2025-05-23,81.09,Gym Membership,Health,100.0,5,4,21,7,3,6,1,False
2025-05-23,7.55,Kroger,Groceries,400.0,5,4,21,8,2,6,1,False
2025-05-23,60.77,Spotify,Entertainment,100.0,5,4,21,13,1,2,1,False
2025-05-23,43.06,McDonalds,Dining,200.0,5,4,21,9,0,6,1,False
2025-05-23,79.72,Whole Foods,Groceries,400.0,5,4,21,19,2,2,1,False
2025-05-24,19.46,Spotify,Entertainment,100.0,5,5,21,13,1,2,1,False
2025-05-24,16.47,CVS Pharmacy,Health,100.0,5,5,21,3,3,6,1,False
2025-05-24,9.84,Spotify,Entertainment,100.0,5,5,21,13,1,2,1,False
2025-05-24,35.65,Kroger,Groceries,400.0,5,5,21,8,2,6,1,False
2025-05-25,28.92,Nike,Shopping,300.0,5,6,21,11,4,6,1,False
2025-05-25,111.88,Chipotle,Dining,200.0,5,6,21,4,0,6,1,False
2025-05-25,34.81,Chipotle,Dining,200.0,5,6,21,4,0,6,1,False
2025-05-26,35.23,Starbucks,Dining,200.0,5,0,22,14,0,4,1,False
2025-05-26,9.28,CVS Pharmacy,Health,100.0,5,0,22,3,3,4,1,False
2025-05-26,66.33,Delta Airlines,Transport,150.0,5,0,22,5,5,4,1,False
2025-05-26,169.6,CVS Pharmacy,Health,100.0,5,0,22,3,3,3,1,False
2025-05-26,175.97,Water Dept,Utilities,200.0,5,0,22,18,6,1,1,False
2025-05-26,175.6,Nike,Shopping,300.0,5,0,22,11,4,3,1,False
2025-05-26,196.2,Nike,Shopping,300.0,5,0,22,11,4,3,1,False
2025-05-26,170.05,Shell Gas,Transport,150.0,5,0,22,12,5,3,1,False
2025-05-26,197.32,Delta Airlines,Transport,150.0,5,0,22,5,5,3,1,False
2025-05-26,15.65,AMC Theaters,Entertainment,100.0,5,0,22,0,1,4,-1,True
2025-05-27,124.17,Amazon,Shopping,300.0,5,1,22,2,4,3,1,False
2025-05-27,164.32,Amazon,Shopping,300.0,5,1,22,2,4,3,1,False
2025-05-27,101.51,AMC Theaters,Entertainment,100.0,5,1,22,0,1,3,1,False
2025-05-27,12.3,Chipotle,Dining,200.0,5,1,22,4,0,4,1,False
2025-05-27,158.79,Whole Foods,Groceries,400.0,5,1,22,19,2,0,1,False
2025-05-27,49.13,Starbucks,Dining,200.0,5,1,22,14,0,4,1,False
2025-05-28,181.27,McDonalds,Dining,200.0,5,2,22,9,0,3,1,False
2025-05-28,126.61,Target,Shopping,300.0,5,2,22,15,4,0,1,False
2025-05-28,64.83,Gym Membership,Health,100.0,5,2,22,7,3,4,1,False
2025-05-28,36.14,Spotify,Entertainment,100.0,5,2,22,13,1,4,1,False
2025-05-28,154.19,Duke Energy,Utilities,200.0,5,2,22,6,6,3,1,False
2025-05-28,146.37,Duke Energy,Utilities,200.0,5,2,22,6,6,3,1,False
2025-05-28,192.96,Shell Gas,Transport,150.0,5,2,22,12,5,0,1,False
2025-05-28,197.94,Duke Energy,Utilities,200.0,5,2,22,6,6,3,1,False
2025-05-29,183.01,Nike,Shopping,300.0,5,3,22,11,4,0,1,False
2025-05-29,9.31,Spotify,Entertainment,100.0,5,3,22,13,1,4,1,False
2025-05-29,106.52,Gym Membership,Health,100.0,5,3,22,7,3,3,1,False
2025-05-29,180.68,Nike,Shopping,300.0,5,3,22,11,4,0,1,False
2025-05-29,137.63,Amazon,Shopping,300.0,5,3,22,2,4,3,1,False
2025-05-29,115.19,McDonalds,Dining,200.0,5,3,22,9,0,0,1,False
2025-05-30,59.25,Amazon,Shopping,300.0,5,4,22,2,4,6,1,False
2025-05-30,175.62,Nike,Shopping,300.0,5,4,22,11,4,0,1,False
2025-05-30,64.74,Duke Energy,Utilities,200.0,5,4,22,6,6,6,1,False
2025-05-30,23.29,Amazon,Shopping,300.0,5,4,22,2,4,6,1,False
2025-05-31,73.82,Target,Shopping,300.0,5,5,22,15,4,2,1,False
2025-05-31,35.67,Target,Shopping,300.0,5,5,22,15,4,2,1,False
2025-05-31,16.56,Shell Gas,Transport,150.0,5,5,22,12,5,2,1,False
2025-05-31,120.11,Kroger,Groceries,400.0,5,5,22,8,2,6,1,False
2025-05-31,174.63,CVS Pharmacy,Health,100.0,5,5,22,3,3,5,1,False
2025-05-31,143.08,Kroger,Groceries,400.0,5,5,22,8,2,5,1,False
2025-05-31,187.96,Duke Energy,Utilities,200.0,5,5,22,6,6,5,1,False
2025-05-31,137.51,Netflix,Entertainment,100.0,5,5,22,10,1,0,1,False
2025-06-01,37.09,Target,Shopping,300.0,6,6,22,15,4,2,1,False
2025-06-01,154.08,Uber,Transport,150.0,6,6,22,17,5,0,1,False
2025-06-01,21.57,AMC Theaters,Entertainment,100.0,6,6,22,0,1,6,1,False
2025-06-01,182.78,AMC Theaters,Entertainment,100.0,6,6,22,0,1,5,-1,True
2025-06-02,56.64,Amazon,Shopping,300.0,6,0,23,2,4,4,1,False
2025-06-02,175.83,AMC Theaters,Entertainment,100.0,6,0,23,0,1,3,-1,True
2025-06-02,182.43,AT&T,Utilities,200.0,6,0,23,1,6,3,1,False
2025-06-03,139.87,McDonalds,Dining,200.0,6,1,23,9,0,3,1,False
2025-06-03,54.46,Delta Airlines,Transport,150.0,6,1,23,5,5,4,1,False
2025-06-03,147.34,Netflix,Entertainment,100.0,6,1,23,10,1,3,1,False
2025-06-03,55.61,CVS Pharmacy,Health,100.0,6,1,23,3,3,4,1,False
2025-06-03,25.93,Target,Shopping,300.0,6,1,23,15,4,4,1,False
2025-06-03,82.8,McDonalds,Dining,200.0,6,1,23,9,0,4,1,False
2025-06-03,99.18,McDonalds,Dining,200.0,6,1,23,9,0,4,1,False
2025-06-04,7.61,Chipotle,Dining,200.0,6,2,23,4,0,4,1,False
2025-06-04,23.82,Starbucks,Dining,200.0,6,2,23,14,0,4,1,False
2025-06-04,32.1,McDonalds,Dining,200.0,6,2,23,9,0,4,1,False
2025-06-04,101.37,Amazon,Shopping,300.0,6,2,23,2,4,3,1,False
2025-06-04,120.71,Whole Foods,Groceries,400.0,6,2,23,19,2,1,1,False
2025-06-05,51.85,McDonalds,Dining,200.0,6,3,23,9,0,4,1,False
2025-06-05,10.16,CVS Pharmacy,Health,100.0,6,3,23,3,3,6,1,False
2025-06-05,88.53,Nike,Shopping,300.0,6,3,23,11,4,4,1,False
2025-06-05,59.83,Duke Energy,Utilities,200.0,6,3,23,6,6,6,1,False
2025-06-05,72.0,Whole Foods,Groceries,400.0,6,3,23,19,2,2,1,False
2025-06-05,48.18,Target,Shopping,300.0,6,3,23,15,4,2,1,False
2025-06-05,192.2,Chipotle,Dining,200.0,6,3,23,4,0,3,1,False
2025-06-05,193.79,Delta Airlines,Transport,150.0,6,3,23,5,5,3,1,False
2025-06-06,130.42,CVS Pharmacy,Health,100.0,6,4,23,3,3,5,1,False
2025-06-06,152.52,Kroger,Groceries,400.0,6,4,23,8,2,5,1,False
2025-06-06,11.94,Spotify,Entertainment,100.0,6,4,23,13,1,2,1,False
2025-06-06,155.15,Trader Joes,Groceries,400.0,6,4,23,16,2,0,1,False
2025-06-07,173.55,Gym Membership,Health,100.0,6,5,23,7,3,5,1,False
2025-06-07,188.15,McDonalds,Dining,200.0,6,5,23,9,0,5,1,False
2025-06-07,130.79,AT&T,Utilities,200.0,6,5,23,1,6,5,1,False
2025-06-07,171.88,Nike,Shopping,300.0,6,5,23,11,4,0,1,False
2025-06-07,191.54,Uber,Transport,150.0,6,5,23,17,5,0,1,False
2025-06-07,163.19,Trader Joes,Groceries,400.0,6,5,23,16,2,0,1,False
2025-06-07,39.27,Trader Joes,Groceries,400.0,6,5,23,16,2,2,1,False
2025-06-08,163.51,Delta Airlines,Transport,150.0,6,6,23,5,5,5,1,False
2025-06-08,21.79,McDonalds,Dining,200.0,6,6,23,9,0,6,1,False
2025-06-08,68.79,Gym Membership,Health,100.0,6,6,23,7,3,6,1,False
2025-06-08,55.67,Chipotle,Dining,200.0,6,6,23,4,0,6,1,False
2025-06-08,160.78,Kroger,Groceries,400.0,6,6,23,8,2,5,1,False
2025-06-08,102.59,Target,Shopping,300.0,6,6,23,15,4,2,1,False
2025-06-08,47.16,Spotify,Entertainment,100.0,6,6,23,13,1,2,1,False
2025-06-08,32.04,Duke Energy,Utilities,200.0,6,6,23,6,6,6,1,False
2025-06-08,101.66,McDonalds,Dining,200.0,6,6,23,9,0,6,1,False
2025-06-08,155.39,Whole Foods,Groceries,400.0,6,6,23,19,2,0,1,False
2025-06-09,9.22,Nike,Shopping,300.0,6,0,24,11,4,4,1,False
2025-06-09,70.78,Starbucks,Dining,200.0,6,0,24,14,0,4,1,False
2025-06-09,194.57,Delta Airlines,Transport,150.0,6,0,24,5,5,3,1,False
2025-06-09,108.86,Netflix,Entertainment,100.0,6,0,24,10,1,4,1,False
2025-06-09,197.49,Water Dept,Utilities,200.0,6,0,24,18,6,1,-1,True
2025-06-09,166.01,McDonalds,Dining,200.0,6,0,24,9,0,3,1,False
2025-06-09,69.31,Nike,Shopping,300.0,6,0,24,11,4,4,1,False
2025-06-10,20.58,Netflix,Entertainment,100.0,6,1,24,10,1,4,1,False
2025-06-10,139.15,Trader Joes,Groceries,400.0,6,1,24,16,2,1,1,False
2025-06-10,111.17,Chipotle,Dining,200.0,6,1,24,4,0,3,1,False
2025-06-10,121.42,Delta Airlines,Transport,150.0,6,1,24,5,5,3,1,False
2025-06-11,87.71,Amazon,Shopping,300.0,6,2,24,2,4,3,1,False
2025-06-11,52.01,Uber,Transport,150.0,6,2,24,17,5,4,1,False
2025-06-11,106.75,Water Dept,Utilities,200.0,6,2,24,18,6,1,1,False
2025-06-11,39.03,AMC Theaters,Entertainment,100.0,6,2,24,0,1,4,1,False
2025-06-11,79.32,Nike,Shopping,300.0,6,2,24,11,4,4,1,False
2025-06-11,139.8,Target,Shopping,300.0,6,2,24,15,4,1,1,False
2025-06-11,55.65,Amazon,Shopping,300.0,6,2,24,2,4,4,1,False
2025-06-11,161.61,McDonalds,Dining,200.0,6,2,24,9,0,3,1,False
2025-06-11,108.9,Uber,Transport,150.0,6,2,24,17,5,1,1,False
2025-06-12,149.84,Water Dept,Utilities,200.0,6,3,24,18,6,0,1,False
2025-06-12,8.61,AMC Theaters,Entertainment,100.0,6,3,24,0,1,6,1,False
2025-06-12,128.24,Whole Foods,Groceries,400.0,6,3,24,19,2,0,1,False
2025-06-12,123.03,Amazon,Shopping,300.0,6,3,24,2,4,3,1,False
2025-06-12,56.11,Uber,Transport,150.0,6,3,24,17,5,2,1,False
2025-06-12,110.77,Shell Gas,Transport,150.0,6,3,24,12,5,0,1,False
2025-06-12,164.91,Gym Membership,Health,100.0,6,3,24,7,3,3,1,False
2025-06-13,177.34,Delta Airlines,Transport,150.0,6,4,24,5,5,5,1,False
2025-06-13,119.98,Nike,Shopping,300.0,6,4,24,11,4,0,1,False
2025-06-13,197.97,Uber,Transport,150.0,6,4,24,17,5,0,1,False
2025-06-13,182.29,Netflix,Entertainment,100.0,6,4,24,10,1,0,1,False
2025-06-13,65.39,AMC Theaters,Entertainment,100.0,6,4,24,0,1,6,1,False
2025-06-13,41.83,Chipotle,Dining,200.0,6,4,24,4,0,6,1,False
2025-06-13,157.4,Uber,Transport,150.0,6,4,24,17,5,0,1,False
2025-06-13,28.55,Chipotle,Dining,200.0,6,4,24,4,0,6,1,False
2025-06-13,45.12,CVS Pharmacy,Health,100.0,6,4,24,3,3,6,1,False
2025-06-14,39.81,Amazon,Shopping,300.0,6,5,24,2,4,6,1,False
2025-06-14,195.96,Whole Foods,Groceries,400.0,6,5,24,19,2,0,1,False
2025-06-14,169.73,Water Dept,Utilities,200.0,6,5,24,18,6,0,1,False
2025-06-14,28.94,Duke Energy,Utilities,200.0,6,5,24,6,6,6,1,False
2025-06-15,143.92,Duke Energy,Utilities,200.0,6,6,24,6,6,5,1,False
2025-06-15,194.82,McDonalds,Dining,200.0,6,6,24,9,0,5,1,False
2025-06-15,12.57,Target,Shopping,300.0,6,6,24,15,4,2,1,False
2025-06-15,22.85,Spotify,Entertainment,100.0,6,6,24,13,1,2,1,False
2025-06-15,117.35,Chipotle,Dining,200.0,6,6,24,4,0,5,1,False
2025-06-15,38.78,AT&T,Utilities,200.0,6,6,24,1,6,6,1,False
2025-06-15,113.7,Delta Airlines,Transport,150.0,6,6,24,5,5,5,1,False
2025-06-15,185.92,Amazon,Shopping,300.0,6,6,24,2,4,5,1,False
2025-06-15,155.11,Chipotle,Dining,200.0,6,6,24,4,0,5,1,False
2025-06-16,191.79,Spotify,Entertainment,100.0,6,0,25,13,1,1,1,False
2025-06-16,190.94,Water Dept,Utilities,200.0,6,0,25,18,6,1,1,False
2025-06-16,124.19,Shell Gas,Transport,150.0,6,0,25,12,5,1,1,False
2025-06-16,154.58,Nike,Shopping,300.0,6,0,25,11,4,3,1,False
2025-06-16,180.5,McDonalds,Dining,200.0,6,0,25,9,0,3,1,False
2025-06-16,52.84,Target,Shopping,300.0,6,0,25,15,4,4,1,False
2025-06-16,41.12,Gym Membership,Health,100.0,6,0,25,7,3,4,1,False
2025-06-16,77.1,Gym Membership,Health,100.0,6,0,25,7,3,4,1,False
2025-06-17,179.91,Gym Membership,Health,100.0,6,1,25,7,3,3,1,False
2025-06-17,52.18,McDonalds,Dining,200.0,6,1,25,9,0,4,1,False
2025-06-17,165.25,Netflix,Entertainment,100.0,6,1,25,10,1,3,1,False
2025-06-17,153.68,Shell Gas,Transport,150.0,6,1,25,12,5,1,1,False
2025-06-17,196.9,Netflix,Entertainment,100.0,6,1,25,10,1,3,1,False
2025-06-18,33.38,Amazon,Shopping,300.0,6,2,25,2,4,4,1,False
2025-06-18,198.32,AT&T,Utilities,200.0,6,2,25,1,6,3,1,False
2025-06-18,180.64,Trader Joes,Groceries,400.0,6,2,25,16,2,0,1,False
2025-06-18,86.22,Chipotle,Dining,200.0,6,2,25,4,0,4,1,False
2025-06-18,61.96,Gym Membership,Health,100.0,6,2,25,7,3,4,1,False
2025-06-18,68.48,Netflix,Entertainment,100.0,6,2,25,10,1,4,1,False
2025-06-18,36.11,CVS Pharmacy,Health,100.0,6,2,25,3,3,4,1,False
2025-06-18,118.05,AT&T,Utilities,200.0,6,2,25,1,6,3,1,False
2025-06-18,88.84,Starbucks,Dining,200.0,6,2,25,14,0,4,1,False
2025-06-19,39.78,Shell Gas,Transport,150.0,6,3,25,12,5,4,1,False
2025-06-19,126.64,Amazon,Shopping,300.0,6,3,25,2,4,3,1,False
2025-06-19,62.09,Amazon,Shopping,300.0,6,3,25,2,4,6,1,False
2025-06-20,9.77,Shell Gas,Transport,150.0,6,4,25,12,5,2,1,False
2025-06-20,74.27,Starbucks,Dining,200.0,6,4,25,14,0,2,1,False
2025-06-20,81.18,McDonalds,Dining,200.0,6,4,25,9,0,6,1,False
2025-06-20,141.88,AT&T,Utilities,200.0,6,4,25,1,6,5,1,False
2025-06-20,90.38,Uber,Transport,150.0,6,4,25,17,5,2,1,False
2025-06-20,38.83,Duke Energy,Utilities,200.0,6,4,25,6,6,6,1,False
2025-06-21,127.18,Starbucks,Dining,200.0,6,5,25,14,0,0,1,False
2025-06-21,173.05,Target,Shopping,300.0,6,5,25,15,4,0,1,False
2025-06-22,78.66,Duke Energy,Utilities,200.0,6,6,25,6,6,6,1,False
2025-06-22,77.13,AMC Theaters,Entertainment,100.0,6,6,25,0,1,6,1,False
2025-06-22,49.98,Shell Gas,Transport,150.0,6,6,25,12,5,2,1,False
2025-06-22,166.98,Starbucks,Dining,200.0,6,6,25,14,0,0,1,False
2025-06-22,58.69,Target,Shopping,300.0,6,6,25,15,4,2,1,False
2025-06-22,190.0,Spotify,Entertainment,100.0,6,6,25,13,1,0,1,False
2025-06-22,38.58,Uber,Transport,150.0,6,6,25,17,5,2,1,False
2025-06-23,6.77,Uber,Transport,150.0,6,0,26,17,5,4,-1,True
2025-06-23,70.65,Amazon,Shopping,300.0,6,0,26,2,4,4,1,False
2025-06-23,51.12,Uber,Transport,150.0,6,0,26,17,5,4,1,False
2025-06-24,133.8,AMC Theaters,Entertainment,100.0,6,1,26,0,1,3,1,False
2025-06-24,11.52,Whole Foods,Groceries,400.0,6,1,26,19,2,4,1,False
2025-06-24,17.78,Water Dept,Utilities,200.0,6,1,26,18,6,4,1,False
2025-06-24,193.25,CVS Pharmacy,Health,100.0,6,1,26,3,3,3,1,False
2025-06-24,103.45,Starbucks,Dining,200.0,6,1,26,14,0,1,1,False
2025-06-24,71.52,McDonalds,Dining,200.0,6,1,26,9,0,4,1,False
2025-06-24,159.71,McDonalds,Dining,200.0,6,1,26,9,0,3,1,False
2025-06-24,142.17,Water Dept,Utilities,200.0,6,1,26,18,6,1,1,False
2025-06-25,162.34,Delta Airlines,Transport,150.0,6,2,26,5,5,3,1,False
2025-06-25,21.24,Uber,Transport,150.0,6,2,26,17,5,4,1,False
2025-06-25,98.33,Netflix,Entertainment,100.0,6,2,26,10,1,4,1,False
2025-06-25,85.08,Target,Shopping,300.0,6,2,26,15,4,4,1,False
2025-06-25,78.4,Uber,Transport,150.0,6,2,26,17,5,1,1,False
2025-06-25,97.33,Kroger,Groceries,400.0,6,2,26,8,2,4,1,False
2025-06-26,114.3,McDonalds,Dining,200.0,6,3,26,9,0,3,1,False
2025-06-26,83.48,Nike,Shopping,300.0,6,3,26,11,4,4,1,False
2025-06-26,194.26,Shell Gas,Transport,150.0,6,3,26,12,5,0,1,False
2025-06-26,134.34,Water Dept,Utilities,200.0,6,3,26,18,6,0,1,False
2025-06-27,139.55,AT&T,Utilities,200.0,6,4,26,1,6,5,1,False
2025-06-27,7.66,Nike,Shopping,300.0,6,4,26,11,4,2,1,False
2025-06-27,20.75,AMC Theaters,Entertainment,100.0,6,4,26,0,1,6,1,False
2025-06-27,90.64,Kroger,Groceries,400.0,6,4,26,8,2,6,1,False
2025-06-27,158.62,Uber,Transport,150.0,6,4,26,17,5,0,1,False
2025-06-27,144.02,Netflix,Entertainment,100.0,6,4,26,10,1,0,1,False
2025-06-28,152.76,Whole Foods,Groceries,400.0,6,5,26,19,2,0,1,False
2025-06-28,132.34,Whole Foods,Groceries,400.0,6,5,26,19,2,0,1,False
2025-06-29,142.38,Chipotle,Dining,200.0,6,6,26,4,0,5,1,False
2025-06-29,167.3,Spotify,Entertainment,100.0,6,6,26,13,1,0,1,False
2025-06-29,60.84,Nike,Shopping,300.0,6,6,26,11,4,2,1,False
2025-06-30,11.85,Kroger,Groceries,400.0,6,0,27,8,2,4,1,False
2025-06-30,171.33,CVS Pharmacy,Health,100.0,6,0,27,3,3,3,1,False
2025-06-30,182.23,Netflix,Entertainment,100.0,6,0,27,10,1,3,1,False
2025-06-30,70.23,Chipotle,Dining,200.0,6,0,27,4,0,4,1,False
2025-06-30,102.47,Uber,Transport,150.0,6,0,27,17,5,1,1,False
2025-06-30,188.3,Amazon,Shopping,300.0,6,0,27,2,4,3,1,False
2025-06-30,196.42,Duke Energy,Utilities,200.0,6,0,27,6,6,3,1,False
2025-07-01,22.71,McDonalds,Dining,200.0,7,1,27,9,0,4,1,False
2025-07-01,7.11,Water Dept,Utilities,200.0,7,1,27,18,6,4,1,False
2025-07-01,136.42,Delta Airlines,Transport,150.0,7,1,27,5,5,3,1,False
2025-07-01,22.59,Delta Airlines,Transport,150.0,7,1,27,5,5,4,1,False
2025-07-01,159.72,Gym Membership,Health,100.0,7,1,27,7,3,3,1,False
2025-07-01,45.11,Trader Joes,Groceries,400.0,7,1,27,16,2,4,1,False
2025-07-01,171.29,Whole Foods,Groceries,400.0,7,1,27,19,2,1,1,False
2025-07-01,111.5,Nike,Shopping,300.0,7,1,27,11,4,1,1,False
2025-07-02,177.82,AT&T,Utilities,200.0,7,2,27,1,6,3,1,False
2025-07-02,144.41,Water Dept,Utilities,200.0,7,2,27,18,6,1,1,False
2025-07-02,148.23,Netflix,Entertainment,100.0,7,2,27,10,1,1,1,False
2025-07-02,75.3,Nike,Shopping,300.0,7,2,27,11,4,4,1,False
2025-07-02,34.66,Amazon,Shopping,300.0,7,2,27,2,4,4,1,False
2025-07-02,50.53,Spotify,Entertainment,100.0,7,2,27,13,1,4,1,False
2025-07-03,96.78,Kroger,Groceries,400.0,7,3,27,8,2,4,1,False
2025-07-03,135.5,Starbucks,Dining,200.0,7,3,27,14,0,1,1,False
2025-07-03,65.37,McDonalds,Dining,200.0,7,3,27,9,0,4,1,False
2025-07-03,158.15,Chipotle,Dining,200.0,7,3,27,4,0,5,1,False
2025-07-03,68.39,Whole Foods,Groceries,400.0,7,3,27,19,2,2,1,False
2025-07-03,122.05,Uber,Transport,150.0,7,3,27,17,5,1,1,False
